,Stars,Comments,sentiments
150,1,"Don't waste your hard earned money on ""Get Rich Quick"" books.",negative
151,5,This is the best self help book any entrepreneur could ever read. Perhaps the only one they need to. Truly transformative.,positive
152,5,"I have read hundreds of books over the past many years in my quest for success. ""Think and Grow Rich"" truly stands right near the top",positive
153,5,One of the best classical self-help books I ever read.I will read this book from time to time and review my habits and action.,positive
154,5,"Think and Grow Rich, in my opinion, is a one of a kind book, and offers readers a completely new paradigm for achieving one's life desires, whatever they may be.",positive
155,4,Probably the first ever book which actually makes sense about plans and their fulfillments.,positive
156,3,"There are some valuable things to pick up from this book but it definitely tested my patience, it's so repetitive and annoying and philosophical and abstract.",neutral
157,2,"I was recommended to read ""Think and Grow Rich"" from my life coach and found it to be a decent read. I will be honest though and say that although I found some helpful nuggets along the way, I didn't love the book",negative
158,4,"Unexpectedly, the book impacted me. Greatly. I started reading it as a very confused person, but now I have defined goals for my career and personal life.",positive
159,3,Overall it wasn't bad But I just needed more or perhaps the book was pretty good for its time and I'm just being too critical here,neutral
160,5,This was the first and my favorite self-help book I ever have read.,positive
161,1,This book is a piece of crap!I am ambitious and I have an insatiable hunger for growth but this book couldn't make them feel more in anyway.,negative
162,2,"The book gets pretty boring and repetitive, not to mention the unrealistic advices because we have to face it itâ€™s just a commercial book to sell and make money.",negative
163,5,This is one of my Top 5 favorite books of all time. I've read it 3 or 4 times.,positive
164,1,"So many other books can inspire entrepreneurs without the nonsense in this work. I suggest reading something else, maybe Seth Godin or Michael Gerber.",negative
165,1,Some of the thoughts are interesting but are coated in so much crap that it is easy to clean them for use.,negative
166,4,Incredible book. It makes you question everything you though you knew about yourslef and gives you the tools to improve,positive
167,4,This book is so simply to understand. It gives you the mindset to do whatever you want in life. Just read it. Itâ€™s amazing.,positive
168,5,This book alone changed little thing about me and my thought process. Take time to think about that sentence. It literally changed my whole way of life. That is how good this book is!,positive
169,5,I have learned a lot from it and now i look at my ambitions differently.,positive
170,5,A real must read. There's a reason it's been read by almost every successful person.,positive
171,5,"This book is amazing. I have been fed so many perspectives, and my own has changed. It is an eye opener. I recommend this to any and everybody.",positive
172,5,One the greatest books ever even after almost 70 yearsWould definitely recommend it,positive
173,5,"The Novel To kill A Mockingbird  Which is Written By Harper Lee and published July 11, 1960 is one of the best book that I read .",positive
174,5,"It is one of the best books that I read. Initially, when I was reading this novel, I did not like this novel.  But as soon as I read it, I started getting interested in this novel.",positive
175,1,This book is not good. I do not understand how people could possibly like it. It is boring from every angle.,negative
176,2,"I found this book incredibly boring. In the first half of the book absolutely nothing happened, yes you found out a bit about the main characters but even they were dull",negative
177,4,"The book starts slowly, but eventually becomes engaging and enjoyable. Many life lessons can be learned through the wisdom in many of theses characters talking.",positive
178,5,"""To Kill a Mockingbird"" is a great novel and the best one to start with.",positive
179,1,"We are reading in English class, and compared to every other book this has to be the worst book I have read in my entire short life. Not very interesting.",negative
180,4,"This book has so many things to learn from. It make you laugh, make you angry, make you smile and finally will make you weep with a smile. A must read novel, I'd say.",positive
181,5,"The book called To Kill A Mockingbird by Harper Lee, in my opinion, is a very inspirational, motivational, enjoyable, and interesting book to read.",positive
182,4,It is very interesting and educational novel . The first half of this novel is not so much interesting but after this boring part you can learn many things,positive
183,5,The story is great and a very marvellous work is done by the author Harper Lee in which she tried her best to explain differences between good and evil,positive
184,4,This book has a very profound meaning that still manages to compel us to ponder over injustices around us and this is what makes it so unique.,positive
185,5,Best book I can grab onto during this lockdown period. I must say this is a piece of art in the very way it has been written.,positive
186,4,It is one of the best books written and must be read in a life time.,positive
187,5,"A classic novel, really a good read , it depicts the society's attitude towards colored people.",positive
188,5,To Kill a Mockingbird is a timeless classic that explores ideas of racial prejudice and small town identity. The characterisation of the children Jem and Scout Finch is outstandingly crafted.,positive
189,3,"It's a good read, a humorous account of a little girl in America and her time in a little town. Although the characters were well-narrated, it isn't gripping, it's rather dull and pale",neutral
190,2,This book has good morals and themes but it's so boring and is wayyyy too long compared to 3-minute songs that convey the exact same ideas,negative
191,4,This book make a environment for your feelings to stay everywhere persistent as you are now working on your goal.,positive
192,1,"From being boring, to being racist, to not making sense.....cheers to the others drinking straight acitone from reading this book.",negative
193,5,"An amazing and unique presentation of morals and day to day lessons needed to get through life with ease. The book not only shows the tough, deep and harsh realities but also to come through them and be a better version of oneself.",positive
194,5,"The book is raw and realistic, it sticks to its theme of youth and innocence and doesn't  stray away in order to give better understanding of the case",positive
195,4,I just love this book and I'd read it many more times... Harper lee sure is one of the best authors,positive
196,5,Wow what a well written book. Based on a true story of what happened particularly about racism in America especially towards black people.,positive
197,1,This story overall is a disaster. Everything about the story needs a lot of improvement. The editing is over brutal I donâ€™t know if the editor was legally blind or he had his head up his behind.,negative
198,4,There are some good excerpts in this book. Ofcourse I donâ€™t really agree with all of what he has written but overall a good book to ponder over things.,positive
199,4,"I donâ€™t know what is so great about this book, but itâ€™s good. For the longest time, I was avoiding it thinking it to be another â€˜self helpâ€™ book.",positive
200,1,The book is hypocritical and lacks any depth. Some sections are repetitive. It feels like a book written to stroke the author's ego.,negative
201,3,"Do Epic Shit consolidates most facets of self-help in a clear, easy language. While it does not exactly have actionable pieces of advice, it does provide his own experiences for case studies.",neutral
202,2,"Not a book, but a pamphlet in a very big font. Populated by self evident cliches and truisms.",negative
203,5,One of the best books I have read about someone's life which I kind of relate to.,positive
